type,filename,source_path,lines,stratum
dockerfile,apache__airflow.Dockerfile,apache/airflow/Dockerfile,2259,production
dockerfile,apache__superset.Dockerfile,apache/superset/Dockerfile,294,production
dockerfile,appsmithorg__appsmith.Dockerfile,appsmithorg/appsmith/Dockerfile,67,production
dockerfile,appwrite__appwrite.Dockerfile,appwrite/appwrite/Dockerfile,118,production
dockerfile,awesome-compose__apache-php_app.Dockerfile,docker/awesome-compose/apache-php/app/Dockerfile,22,curated-examples
dockerfile,awesome-compose__django_app.Dockerfile,docker/awesome-compose/django/app/Dockerfile,24,curated-examples
dockerfile,awesome-compose__fastapi.Dockerfile,docker/awesome-compose/fastapi/Dockerfile,26,curated-examples
dockerfile,awesome-compose__flask-redis.Dockerfile,docker/awesome-compose/flask-redis/Dockerfile,27,curated-examples
dockerfile,awesome-compose__flask_app.Dockerfile,docker/awesome-compose/flask/app/Dockerfile,27,curated-examples
dockerfile,awesome-compose__nginx-aspnet-mysql_backend.Dockerfile,docker/awesome-compose/nginx-aspnet-mysql/backend/Dockerfile,42,curated-examples
dockerfile,awesome-compose__nginx-flask-mysql_backend.Dockerfile,docker/awesome-compose/nginx-flask-mysql/backend/Dockerfile,35,curated-examples
dockerfile,awesome-compose__nginx-golang-mysql_backend.Dockerfile,docker/awesome-compose/nginx-golang-mysql/backend/Dockerfile,41,curated-examples
dockerfile,awesome-compose__nginx-golang-postgres_backend.Dockerfile,docker/awesome-compose/nginx-golang-postgres/backend/Dockerfile,41,curated-examples
dockerfile,awesome-compose__nginx-golang_backend.Dockerfile,docker/awesome-compose/nginx-golang/backend/Dockerfile,41,curated-examples
dockerfile,awesome-compose__nginx-nodejs-redis_web.Dockerfile,docker/awesome-compose/nginx-nodejs-redis/web/Dockerfile,11,curated-examples
dockerfile,awesome-compose__react-express-mongodb_backend.Dockerfile,docker/awesome-compose/react-express-mongodb/backend/Dockerfile,33,curated-examples
dockerfile,awesome-compose__react-express-mysql_backend.Dockerfile,docker/awesome-compose/react-express-mysql/backend/Dockerfile,49,curated-examples
dockerfile,awesome-compose__react-java-mysql_backend.Dockerfile,docker/awesome-compose/react-java-mysql/backend/Dockerfile,40,curated-examples
dockerfile,awesome-compose__react-nginx.Dockerfile,docker/awesome-compose/react-nginx/Dockerfile,61,curated-examples
dockerfile,awesome-compose__react-rust-postgres_backend.Dockerfile,docker/awesome-compose/react-rust-postgres/backend/Dockerfile,49,curated-examples
dockerfile,awesome-compose__sparkjava-mysql_backend.Dockerfile,docker/awesome-compose/sparkjava-mysql/backend/Dockerfile,31,curated-examples
dockerfile,awesome-compose__spring-postgres_backend.Dockerfile,docker/awesome-compose/spring-postgres/backend/Dockerfile,39,curated-examples
dockerfile,awesome-compose__traefik-golang_backend.Dockerfile,docker/awesome-compose/traefik-golang/backend/Dockerfile,29,curated-examples
dockerfile,benphelps__homepage.Dockerfile,benphelps/homepage/Dockerfile,63,production
dockerfile,directus__directus.Dockerfile,directus/directus/Dockerfile,74,production
dockerfile,drone__drone.Dockerfile,drone/drone/Dockerfile,96,production
dockerfile,etcd-io__etcd.Dockerfile,etcd-io/etcd/Dockerfile,17,production
dockerfile,excalidraw__excalidraw.Dockerfile,excalidraw/excalidraw/Dockerfile,20,production
dockerfile,gethomepage__homepage.Dockerfile,gethomepage/homepage/Dockerfile,65,production
dockerfile,getredash__redash.Dockerfile,getredash/redash/Dockerfile,122,production
dockerfile,go-gitea__gitea.Dockerfile,go-gitea/gitea/Dockerfile,86,production
dockerfile,gogs__gogs.Dockerfile,gogs/gogs/Dockerfile,56,production
dockerfile,gohugoio__hugo.Dockerfile,gohugoio/hugo/Dockerfile,101,production
dockerfile,grafana__grafana.Dockerfile,grafana/grafana/Dockerfile,396,production
dockerfile,home-assistant__core.Dockerfile,home-assistant/core/Dockerfile,59,production
dockerfile,kanboard__kanboard.Dockerfile,kanboard/kanboard/Dockerfile,35,production
dockerfile,linkwarden__linkwarden.Dockerfile,linkwarden/linkwarden/Dockerfile,70,production
dockerfile,linuxserver__docker-plex.Dockerfile,linuxserver/docker-plex/Dockerfile,64,production
dockerfile,mastodon__mastodon.Dockerfile,mastodon/mastodon/Dockerfile,416,production
dockerfile,meilisearch__meilisearch.Dockerfile,meilisearch/meilisearch/Dockerfile,46,production
dockerfile,metabase__metabase.Dockerfile,metabase/metabase/Dockerfile,69,production
dockerfile,minio__minio.Dockerfile,minio/minio/Dockerfile,18,production
dockerfile,outline__outline.Dockerfile,outline/outline/Dockerfile,47,production
dockerfile,paperless-ngx__paperless-ngx.Dockerfile,paperless-ngx/paperless-ngx/Dockerfile,255,production
dockerfile,prometheus__prometheus.Dockerfile,prometheus/prometheus/Dockerfile,32,production
dockerfile,qdrant__qdrant.Dockerfile,qdrant/qdrant/Dockerfile,246,production
dockerfile,traefik__traefik.Dockerfile,traefik/traefik/Dockerfile,12,production
dockerfile,wallabag__docker.Dockerfile,wallabag/docker/Dockerfile,91,production
dockerfile,wekan__wekan.Dockerfile,wekan/wekan/Dockerfile,233,production
compose,apache__superset__compose.yml,apache/superset/docker-compose.yml,292,production
compose,appwrite__appwrite__compose.yml,appwrite/appwrite/docker-compose.yml,1302,production
compose,awesome-compose__angular.yml,docker/awesome-compose/angular/compose.yaml,10,curated-examples
compose,awesome-compose__apache-php.yml,docker/awesome-compose/apache-php/compose.yaml,9,curated-examples
compose,awesome-compose__aspnet-mssql.yml,docker/awesome-compose/aspnet-mssql/compose.yaml,22,curated-examples
compose,awesome-compose__django.yml,docker/awesome-compose/django/compose.yaml,7,curated-examples
compose,awesome-compose__elasticsearch-logstash-kibana.yml,docker/awesome-compose/elasticsearch-logstash-kibana/compose.yaml,48,curated-examples
compose,awesome-compose__fastapi.yml,docker/awesome-compose/fastapi/compose.yaml,11,curated-examples
compose,awesome-compose__flask-redis.yml,docker/awesome-compose/flask-redis/compose.yaml,18,curated-examples
compose,awesome-compose__flask.yml,docker/awesome-compose/flask/compose.yaml,10,curated-examples
compose,awesome-compose__gitea-postgres.yml,docker/awesome-compose/gitea-postgres/compose.yaml,31,curated-examples
