file,type,status,score,grade
apache__airflow.Dockerfile,dockerfile,ok,93,A
apache__superset.Dockerfile,dockerfile,ok,80,B
appsmithorg__appsmith.Dockerfile,dockerfile,ok,75,B
appwrite__appwrite.Dockerfile,dockerfile,ok,82,B
awesome-compose__apache-php_app.Dockerfile,dockerfile,ok,75,B
awesome-compose__django_app.Dockerfile,dockerfile,ok,75,B
awesome-compose__fastapi.Dockerfile,dockerfile,ok,65,C
awesome-compose__flask-redis.Dockerfile,dockerfile,ok,65,C
awesome-compose__flask_app.Dockerfile,dockerfile,ok,65,C
awesome-compose__nginx-aspnet-mysql_backend.Dockerfile,dockerfile,ok,75,B
awesome-compose__nginx-flask-mysql_backend.Dockerfile,dockerfile,ok,53,D
awesome-compose__nginx-golang-mysql_backend.Dockerfile,dockerfile,ok,71,C
awesome-compose__nginx-golang-postgres_backend.Dockerfile,dockerfile,ok,71,C
awesome-compose__nginx-golang_backend.Dockerfile,dockerfile,ok,71,C
awesome-compose__nginx-nodejs-redis_web.Dockerfile,dockerfile,ok,90,A
awesome-compose__react-express-mongodb_backend.Dockerfile,dockerfile,ok,75,B
awesome-compose__react-express-mysql_backend.Dockerfile,dockerfile,ok,75,B
awesome-compose__react-java-mysql_backend.Dockerfile,dockerfile,ok,75,B
awesome-compose__react-nginx.Dockerfile,dockerfile,ok,80,B
awesome-compose__react-rust-postgres_backend.Dockerfile,dockerfile,ok,65,C
awesome-compose__sparkjava-mysql_backend.Dockerfile,dockerfile,ok,75,B
awesome-compose__spring-postgres_backend.Dockerfile,dockerfile,ok,75,B
awesome-compose__traefik-golang_backend.Dockerfile,dockerfile,ok,75,B
benphelps__homepage.Dockerfile,dockerfile,ok,78,B
directus__directus.Dockerfile,dockerfile,ok,66,C
drone__drone.Dockerfile,dockerfile,ok,57,D
etcd-io__etcd.Dockerfile,dockerfile,ok,45,D
excalidraw__excalidraw.Dockerfile,dockerfile,ok,80,B
gethomepage__homepage.Dockerfile,dockerfile,ok,65,C
getredash__redash.Dockerfile,dockerfile,ok,80,B
go-gitea__gitea.Dockerfile,dockerfile,ok,68,C
gogs__gogs.Dockerfile,dockerfile,ok,74,C
gohugoio__hugo.Dockerfile,dockerfile,ok,81,B
grafana__grafana.Dockerfile,dockerfile,ok,75,B
home-assistant__core.Dockerfile,dockerfile,ok,76,B
kanboard__kanboard.Dockerfile,dockerfile,ok,52,D
linkwarden__linkwarden.Dockerfile,dockerfile,ok,87,B
linuxserver__docker-plex.Dockerfile,dockerfile,ok,51,D
mastodon__mastodon.Dockerfile,dockerfile,ok,98,A
meilisearch__meilisearch.Dockerfile,dockerfile,ok,58,D
metabase__metabase.Dockerfile,dockerfile,ok,25,F
minio__minio.Dockerfile,dockerfile,ok,72,C
outline__outline.Dockerfile,dockerfile,ok,41,F
paperless-ngx__paperless-ngx.Dockerfile,dockerfile,ok,86,B
prometheus__prometheus.Dockerfile,dockerfile,ok,82,B
qdrant__qdrant.Dockerfile,dockerfile,ok,95,A
traefik__traefik.Dockerfile,dockerfile,ok,82,B
wallabag__docker.Dockerfile,dockerfile,ok,75,B
wekan__wekan.Dockerfile,dockerfile,ok,75,B
apache__superset__compose.yml,compose,ok,26,F
appwrite__appwrite__compose.yml,compose,ok,6,F
awesome-compose__angular.yml,compose,ok,61,C
awesome-compose__apache-php.yml,compose,ok,69,C
awesome-compose__aspnet-mssql.yml,compose,ok,43,F
awesome-compose__django.yml,compose,ok,77,B
awesome-compose__elasticsearch-logstash-kibana.yml,compose,ok,0,F
awesome-compose__fastapi.yml,compose,ok,77,B
awesome-compose__flask-redis.yml,compose,ok,23,F
awesome-compose__flask.yml,compose,ok,69,C
awesome-compose__gitea-postgres.yml,compose,ok,2,F
awesome-compose__minecraft.yml,compose,ok,30,F
awesome-compose__nextcloud-postgres.yml,compose,ok,17,F
awesome-compose__nextcloud-redis-mariadb.yml,compose,ok,0,F
awesome-compose__nginx-aspnet-mysql.yml,compose,ok,0,F
awesome-compose__nginx-flask-mongo.yml,compose,ok,0,F
awesome-compose__nginx-flask-mysql.yml,compose,ok,0,F
awesome-compose__nginx-golang-mysql.yml,compose,ok,0,F
awesome-compose__nginx-golang-postgres.yml,compose,ok,0,F
awesome-compose__nginx-golang.yml,compose,ok,38,F
awesome-compose__nginx-nodejs-redis.yml,compose,ok,0,F
awesome-compose__nginx-wsgi-flask.yml,compose,ok,6,F
awesome-compose__pihole-cloudflared-DoH.yml,compose,ok,0,F
awesome-compose__plex.yml,compose,ok,61,C
awesome-compose__portainer.yml,compose,ok,37,F
awesome-compose__postgresql-pgadmin.yml,compose,ok,0,F
awesome-compose__prometheus-grafana.yml,compose,ok,0,F
awesome-compose__react-express-mongodb.yml,compose,ok,0,F
awesome-compose__react-express-mysql.yml,compose,ok,0,F
awesome-compose__react-java-mysql.yml,compose,ok,0,F
awesome-compose__react-nginx.yml,compose,ok,69,C
awesome-compose__react-rust-postgres.yml,compose,ok,0,F
awesome-compose__sparkjava-mysql.yml,compose,ok,0,F
awesome-compose__sparkjava.yml,compose,ok,69,C
awesome-compose__spring-postgres.yml,compose,ok,0,F
awesome-compose__traefik-golang.yml,compose,ok,37,F
awesome-compose__vuejs.yml,compose,ok,61,C
awesome-compose__wireguard.yml,compose,ok,15,F
awesome-compose__wordpress-mysql.yml,compose,ok,0,F
directus__directus__compose.yml,compose,ok,0,F
getsentry__self-hosted__compose.yml,compose,ok,0,F
healthchecks__healthchecks__compose.yml,compose,ok,43,F
hoppscotch__hoppscotch__compose.yml,compose,ok,0,F
immich-app__immich__compose.yml,compose,ok,26,F
mailcow__mailcow-dockerized__compose.yml,compose,ok,29,F
mastodon__mastodon__compose.yml,compose,ok,46,D
monicahq__monica__compose.yml,compose,ok,0,F
netbox-community__netbox-docker__compose.yml,compose,ok,31,F
outline__outline__compose.yml,compose,ok,20,F
paperless-ngx__paperless-ngx__compose.postgres.yml,compose,ok,10,F
requarks__wiki__compose.yml,compose,ok,0,F
supabase__supabase__compose.yml,compose,ok,34,F
wekan__wekan__compose.yml,compose,ok,93,A
